  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:45:41      0.05      0.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:45:42      0.00      0.00
19:45:43      0.00      0.00
19:45:44      0.00      0.00
19:45:45      0.00      0.00
19:45:46      0.00      0.00
19:45:47      0.00      0.00
19:45:48      0.00      0.00
19:45:49      0.00      0.00
19:45:50      0.05      0.05
19:45:51      0.00      0.00
19:45:52      0.00      0.00
19:45:53      0.00      0.00
19:45:54      0.00      0.00
19:45:55      0.00      0.00
19:45:56      0.00      0.00
19:45:57      0.00      0.00
19:45:58      0.00      0.00
19:45:59      0.00      0.00
19:46:00      0.00      0.00
19:46:01      0.05      0.05
19:46:02      0.00      0.00
19:46:03      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:46:04      0.00      0.00
19:46:05      0.00      0.00
19:46:06      0.04      0.04
